,InterestingEventTime,EventDescription,currentThreadID,BotNumber
189,2022-04-29 17:17:42.590000, Event : Alert ActionId:0 Text:Level:2|Xposition_mm:15943|Yposition_mm:2041|Yaw_mrad:1869|LinearVel_mmps:525|RotationVel_mradps:917,43,3466
190,2022-04-29 17:17:43.876100, Dynamic Status,43,3466
192,2022-04-29 17:17:44.087200, Event : Action Status : AddWayPoint 1000019 : Status Completed,43,3466
191,2022-04-29 17:17:44.087200, Event : Alert ActionId:1000019 Text:Xposition_mm:15129|Yposition_mm:2441|Yaw_mrad:-3130|LinearVel_mmps:937|RotationVel_mradps:106,43,3466
193,2022-04-29 17:17:44.088200, Event : Action Status : AddWayPoint 1000019 : Status Completed,43,3466
194,2022-04-29 17:17:44.088200, Event : Action Status : AddWayPoint 1000020 : Status Completed,43,3466
195,2022-04-29 17:17:44.088200, Event : Action Status : AddWayPoint 1000021 : Status Completed,43,3466
196,2022-04-29 17:17:44.088200, Event : Action Status : AddWayPoint 1000022 : Status Completed,43,3466
197,2022-04-29 17:17:44.088200, Event : OperationalState : OperationalState Alarm : SubState LocalizationError,43,3466
198,2022-04-29 17:17:44.089200, Event : Action Status : Place 1000023 : Status Completed,43,3466
199,2022-04-29 17:17:44.089200, Dynamic Status,43,3466
200,2022-04-29 17:17:45.257300, Initialize : Cmd 1000014 : Response,43,3466
201,2022-04-29 17:17:45.464300, Event : Action Status : Recover 1000024 : Status Started,43,3466
202,2022-04-29 17:17:45.662300, Dynamic Status,43,3466
203,2022-04-29 17:17:47.509500, Dynamic Status,43,3466
204,2022-04-29 17:17:49.282700, Event : OperationalState : OperationalState Recovery : SubState LocalizationError,43,3466
205,2022-04-29 17:17:49.481700, Event : Action Status : Recover 1000024 : Status Completed,43,3466
206,2022-04-29 17:17:49.685700, Dynamic Status,43,3466
207,2022-04-29 17:17:51.521900, Dynamic Status,43,3466
208,2022-04-29 17:17:51.682900, Initialize : Cmd 1000015 : Response,43,3466
209,2022-04-29 17:17:51.886900, Event : Action Status : AddWayPoint 1000025 : Status Started,43,3466
210,2022-04-29 17:17:53.219100, Initialize : Cmd 1000016 : Response,43,3466
211,2022-04-29 17:17:53.532100, Dynamic Status,43,3466
212,2022-04-29 17:17:53.837100, Dynamic Status,43,3466
213,2022-04-29 17:17:54.047200, Event : Action Status : AddWayPoint 1000025 : Status Completed,43,3466
214,2022-04-29 17:17:54.048200, Event : Action Status : AddWayPoint 1000026 : Status Started,43,3466
215,2022-04-29 17:17:55.842300, Dynamic Status,43,3466
216,2022-04-29 17:17:56.067400, Dynamic Status,43,3466
217,2022-04-29 17:17:56.277400, Event : Action Status : AddWayPoint 1000026 : Status Completed,43,3466
218,2022-04-29 17:17:56.278400, Event : Action Status : AddWayPoint 1000027 : Status Started,43,3466
219,2022-04-29 17:17:56.516400, Dynamic Status,43,3466
220,2022-04-29 17:17:56.723400, Event : Alert ActionId:1000027 Text:Xposition_mm:16057|Yposition_mm:2402|Yaw_mrad:1514|LinearVel_mmps:-104|RotationVel_mradps:-126,43,3466
221,2022-04-29 17:17:56.723400, Event : Action Status : AddWayPoint 1000027 : Status Completed,43,3466
222,2022-04-29 17:17:56.724400, Event : Action Status : AddWayPoint 1000027 : Status Completed,43,3466
223,2022-04-29 17:17:56.724400, Event : Action Status : Rest 1000028 : Status Completed,43,3466
224,2022-04-29 17:17:56.724400, Event : OperationalState : OperationalState Alarm : SubState StuckDetected,43,3466
225,2022-04-29 17:17:56.744400, Initialize : Cmd 1000017 : Response,43,3466
226,2022-04-29 17:17:58.515600, Dynamic Status,43,3466
227,2022-04-29 17:17:58.775600, Event : Action Status : Recover 1000029 : Status Started,43,3466
228,2022-04-29 17:18:00.603800, Dynamic Status,43,3466
229,2022-04-29 17:18:02.531000, Dynamic Status,43,3466
230,2022-04-29 17:18:02.791000, Event : OperationalState : OperationalState Recovery : SubState StuckDetected,43,3466
231,2022-04-29 17:18:03.038100, Event : Action Status : Recover 1000029 : Status Completed,43,3466
232,2022-04-29 17:18:03.927200, Initialize : Cmd 1000018 : Response,43,3466
233,2022-04-29 17:18:04.135200, Event : Action Status : AddWayPoint 1000030 : Status Started,43,3466
234,2022-04-29 17:18:04.527200, Dynamic Status,43,3466
235,2022-04-29 17:18:06.286400, Dynamic Status,43,3466
236,2022-04-29 17:18:07.791500, Dynamic Status,43,3466
237,2022-04-29 17:18:09.307700, Dynamic Status,43,3466
238,2022-04-29 17:18:10.995900, Dynamic Status,43,3466
239,2022-04-29 17:18:11.116900, Event : Action Status : AddWayPoint 1000030 : Status Completed,43,3466
240,2022-04-29 17:18:11.117900, Event : Action Status : Rest 1000031 : Status Started,43,3466
241,2022-04-29 17:18:11.117900, Event : Alert ActionId:0 Text:,43,3466
242,2022-04-29 17:18:11.117900, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
243,2022-04-29 17:18:12.687000, Dynamic Status,43,3466
244,2022-04-29 17:18:14.693200, Dynamic Status,43,3466
245,2022-04-29 17:18:16.689400, Event : Action Status : Rest 1000031 : Status Completed,43,3466
246,2022-04-29 17:18:16.895400, Event : OperationalState : OperationalState Idle : SubState SubStateOK,43,3466
247,2022-04-29 17:18:16.896400, Dynamic Status,43,3466
248,2022-04-29 17:18:17.523500, Initialize : Cmd 1000019 : Response,43,3466
249,2022-04-29 17:18:17.727500, Event : OperationalState : OperationalState Active : SubState SubStateOK,43,3466
250,2022-04-29 17:18:17.727500, Event : Action Status : AddWayPoint 1000032 : Status Started,43,3466
251,2022-04-29 17:18:18.532600, Initialize : Cmd 1000020 : Response,43,3466
252,2022-04-29 17:18:18.737600, Dynamic Status,43,3466
253,2022-04-29 17:18:19.475700, Dynamic Status,43,3466
254,2022-04-29 17:18:20.964900, Dynamic Status,43,3466
255,2022-04-29 17:18:22.970100, Dynamic Status,43,3466
256,2022-04-29 17:18:23.172100, Dynamic Status,43,3466
257,2022-04-29 17:18:23.172100, Event : Alert ActionId:1000032 Text:Xposition_mm:15964|Yposition_mm:2047|Yaw_mrad:1729|LinearVel_mmps:389|RotationVel_mradps:647|Reason:,43,3466
258,2022-04-29 17:18:23.172100, Event : Action Status : AddWayPoint 1000032 : Status Completed,43,3466
260,2022-04-29 17:18:23.173100, Event : Action Status : AddWayPoint 1000033 : Status Completed,43,3466
259,2022-04-29 17:18:23.173100, Event : Action Status : AddWayPoint 1000032 : Status Completed,43,3466
261,2022-04-29 17:18:23.174100, Event : Action Status : AddWayPoint 1000034 : Status Completed,43,3466
262,2022-04-29 17:18:23.174100, Event : OperationalState : OperationalState Alarm : SubState StuckDetected,43,3466
263,2022-04-29 17:18:23.200100, Initialize : Cmd 1000021 : Response,43,3466
264,2022-04-29 17:18:25.144300, Dynamic Status,43,3466
265,2022-04-29 17:18:25.716300, Event : Action Status : Recover 1000035 : Status Started,43,3466
266,2022-04-29 17:18:27.155500, Dynamic Status,43,3466
267,2022-04-29 17:18:29.166700, Dynamic Status,43,3466
268,2022-04-29 17:18:29.736700, Event : OperationalState : OperationalState Recovery : SubState StuckDetected,43,3466
269,2022-04-29 17:18:29.947800, Event : Action Status : Recover 1000035 : Status Completed,43,3466
270,2022-04-29 17:18:30.875800, Initialize : Cmd 1000022 : Response,43,3466
271,2022-04-29 17:18:31.078900, Event : Action Status : AddWayPoint 1000036 : Status Started,43,3466
272,2022-04-29 17:18:31.291900, Dynamic Status,43,3466
