,AffectedBot,StartTime,DisconnectThread,LogType,TypeOfError,EndTime,ReconnectThread,LenOfDisco,DiscoType,EventsBetween
91,BOT2425,2022-04-29 09:19:41.062700,149,ERROR,ConnectionReset,2022-04-29 09:19:47.753700,53,6.691,Flicket,4
92,BOT2425,2022-04-29 10:06:53.309700,112,ERROR,ConnectionAborted,2022-04-29 10:07:02.537700,11,9.228,Flicket,4
101,BOT2426,2022-04-29 00:00:35.146800,104,INFO,none,2022-04-29 00:00:35.146800,104,0.0,Orphan Connection Established,0
102,BOT2426,2022-04-29 04:38:36.313800,152,INFO,none,2022-04-29 04:38:36.313800,152,0.0,Orphan Connection Established,0
103,BOT2426,2022-04-29 06:18:40.504700,185,INFO,none,2022-04-29 06:18:40.504700,185,0.0,Orphan Connection Established,0
104,BOT2426,2022-04-29 06:38:22.242700,223,INFO,none,2022-04-29 06:38:22.242700,223,0.0,Orphan Connection Established,0
105,BOT2426,2022-04-29 11:16:15.392700,109,INFO,none,2022-04-29 11:16:15.392700,109,0.0,Orphan Connection Established,0
106,BOT2426,2022-04-29 13:06:45.882700,207,INFO,none,2022-04-29 13:06:45.882700,207,0.0,Orphan Connection Established,0
107,BOT2426,2022-04-29 13:40:15.347700,196,ERROR,OperationAborted,2022-04-29 13:41:03.817700,231,48.47,Flicker,4
108,BOT2426,2022-04-29 14:51:45.766400,202,INFO,none,2022-04-29 14:51:45.766400,202,0.0,Orphan Connection Established,0
3,BOT2431,2022-04-29 22:32:39.588500,208,ERROR,ConnectionReset,2022-04-29 22:32:46.392200,129,6.8037,Flicket,4
86,BOT2434,2022-04-29 16:30:45.863400,129,INFO,none,2022-04-29 16:30:45.863400,129,0.0,Orphan Connection Established,0
87,BOT2434,2022-04-29 16:36:48.395600,140,INFO,none,2022-04-29 16:36:48.395600,140,0.0,Orphan Connection Established,0
88,BOT2434,2022-04-29 17:14:03.547100,235,INFO,none,2022-04-29 17:14:03.547100,235,0.0,Orphan Connection Established,0
89,BOT2434,2022-04-29 18:10:33.608100,75,INFO,none,2022-04-29 18:10:33.608100,75,0.0,Orphan Connection Established,0
90,BOT2434,2022-04-29 18:12:15.557300,183,ERROR,Unknown,2022-04-29 18:12:15.557300,0,0.0,Orphan error,0
34,BOT2439,2022-04-29 09:16:44.898700,215,ERROR,ConnectionAborted,2022-04-29 09:16:53.708700,218,8.81,Flicket,4
126,BOT2442,2022-04-29 12:49:25.697700,155,ERROR,OperationAborted,2022-04-29 12:50:24.864700,228,59.167,Flicker,4
127,BOT2442,2022-04-29 13:11:04.474700,155,INFO,none,2022-04-29 13:11:04.474700,155,0.0,Orphan Connection Established,0
128,BOT2442,2022-04-29 13:12:24.466700,202,ERROR,OperationAborted,2022-04-29 13:12:33.494700,75,9.028,Flicket,4
129,BOT2442,2022-04-29 13:17:36.430700,191,INFO,none,2022-04-29 13:17:36.430700,191,0.0,Orphan Connection Established,0
15,BOT2449,2022-04-29 02:41:08.279000,231,ERROR,ConnectionReset,2022-04-29 02:41:37.813000,132,29.534,Flicker,8
16,BOT2449,2022-04-29 17:24:11.385900,217,ERROR,Unknown,2022-04-29 17:24:11.385900,0,0.0,Orphan error,0
1,BOT2450,2022-04-29 12:13:29.081700,191,ERROR,OperationAborted,2022-04-29 12:14:21.123700,84,52.042,Flicker,4
2,BOT2450,2022-04-29 14:39:47.723600,94,INFO,none,2022-04-29 14:39:47.723600,94,0.0,Orphan Connection Established,0
61,BOT2451,2022-04-29 09:36:43.429700,226,ERROR,OperationAborted,2022-04-29 09:37:56.066700,226,72.637,disconnect,4
30,BOT2452,2022-04-29 16:22:09.016700,254,ERROR,ConnectionAborted,2022-04-29 16:22:15.614400,13,6.5977,Flicket,4
13,BOT2453,2022-04-29 03:19:03.429500,229,ERROR,ConnectionAborted,2022-04-29 03:19:05.994800,44,2.5653,Connecting,4
123,BOT2457,2022-04-29 17:24:14.969300,89,ERROR,Unknown,2022-04-29 17:24:14.969300,0,0.0,Orphan error,0
117,BOT2459,2022-04-29 14:08:07.363600,79,INFO,none,2022-04-29 14:08:07.363600,79,0.0,Orphan Connection Established,0
47,BOT2466,2022-04-29 10:42:17.828700,185,INFO,none,2022-04-29 10:42:17.828700,185,0.0,Orphan Connection Established,0
48,BOT2466,2022-04-29 11:20:05.347700,159,ERROR,ConnectionReset,2022-04-29 11:58:01.977700,144,2276.63,restart,341
49,BOT2466,2022-04-29 17:24:18.319600,227,ERROR,Unknown,2022-04-29 17:24:18.319600,0,0.0,Orphan error,0
118,BOT2467,2022-04-29 01:33:38.081100,138,ERROR,ConnectionReset,2022-04-29 01:33:44.992700,100,6.9116,Flicket,4
119,BOT2467,2022-04-29 11:08:47.516700,112,ERROR,OperationAborted,2022-04-29 11:09:34.923700,11,47.407,Flicker,4
67,BOT2469,2022-04-29 01:37:23.239600,182,ERROR,ConnectionReset,2022-04-29 01:37:32.831500,182,9.5919,Flicket,4
68,BOT2470,2022-04-29 16:26:02.701100,138,ERROR,ConnectionReset,2022-04-29 16:26:10.889900,121,8.1888,Flicket,4
73,BOT2474,2022-04-29 17:24:21.508900,227,ERROR,Unknown,2022-04-29 17:24:21.508900,0,0.0,Orphan error,0
114,BOT2476,2022-04-29 09:54:51.235700,19,INFO,none,2022-04-29 09:54:51.235700,19,0.0,Orphan Connection Established,0
99,BOT2477,2022-04-29 05:00:08.583000,205,ERROR,ConnectionReset,2022-04-29 05:36:55.562700,237,2206.9797,restart,332
12,BOT2484,2022-04-29 23:29:31.321000,186,ERROR,ConnectionReset,2022-04-29 23:29:48.063000,186,16.742,Flicket,4
120,BOT2485,2022-04-29 03:01:55.291700,138,ERROR,ConnectionReset,2022-04-29 03:05:06.556800,169,191.2651,restart,36
121,BOT2485,2022-04-29 03:09:18.205000,177,ERROR,ConnectionReset,2022-04-29 03:10:38.470000,48,80.265,disconnect,28
122,BOT2485,2022-04-29 03:11:03.943600,47,ERROR,ConnectionReset,2022-04-29 03:13:35.303700,103,151.3601,restart,36
100,BOT2487,2022-04-29 17:24:24.750200,89,ERROR,Unknown,2022-04-29 17:24:24.750200,0,0.0,Orphan error,0
28,BOT2496,2022-04-29 17:34:40.704800,207,ERROR,Unknown,2022-04-29 17:34:40.704800,0,0.0,Orphan error,0
124,BOT2497,2022-04-29 08:57:42.049700,160,INFO,none,2022-04-29 08:57:42.049700,160,0.0,Orphan Connection Established,0
